name,count,amount,state,year,quarter,source,category,level,country,date,avg_transaction_value,growth
560037,1860,2052163.0,All,2022,2,top,insurance,pincodes,india,2022-Q2,1103.313440860215,-0.30906389301634474
560078,1844,2105323.0,All,2022,2,top,insurance,pincodes,india,2022-Q2,1141.7152928416485,-0.008602150537634357
560076,1835,2129897.0,All,2022,2,top,insurance,pincodes,india,2022-Q2,1160.7068119891007,-0.0048806941431670525
500072,1794,2115388.0,All,2022,2,top,insurance,pincodes,india,2022-Q2,1179.1460423634337,-0.022343324250681196
560043,1755,2171198.0,All,2022,2,top,insurance,pincodes,india,2022-Q2,1237.1498575498576,-0.021739130434782594
560091,1405,1565112.0,All,2022,2,top,insurance,pincodes,india,2022-Q2,1113.95871886121,-0.19943019943019946
560100,1389,1710571.0,All,2022,2,top,insurance,pincodes,india,2022-Q2,1231.5125989920807,-0.011387900355871894
201301,1312,1413747.0,All,2022,2,top,insurance,pincodes,india,2022-Q2,1077.5510670731708,-0.05543556515478765
203001,1297,774861.0,All,2022,2,top,insurance,pincodes,india,2022-Q2,597.4255975327679,-0.01143292682926833
karnataka,110273,59699082.30149983,All,2022,3,top,insurance,states,india,2022-Q3,541.7027715759958,84.02158828064765
maharashtra,90958,59699082.30149983,All,2022,3,top,insurance,states,india,2022-Q3,656.7337642648232,-0.1751562032410472
uttar pradesh,64514,59699082.30149983,All,2022,3,top,insurance,states,india,2022-Q3,925.925996372877,-0.29072758855735614
tamil nadu,64356,59699082.30149983,All,2022,3,top,insurance,states,india,2022-Q3,928.199231307101,-0.0024490808196671043
kerala,54587,59699082.30149983,All,2022,3,top,insurance,states,india,2022-Q3,1094.3116443475515,-0.15179625831313315
telangana,51465,59699082.30149983,All,2022,3,top,insurance,states,india,2022-Q3,1160.6954188283257,-0.05719310458534088
west bengal,47853,59092307.0,All,2022,3,top,insurance,states,india,2022-Q3,1234.8715232064865,-0.07018361993587874
andhra pradesh,39301,48791931.0,All,2022,3,top,insurance,states,india,2022-Q3,1241.493371669932,-0.1787139782249807
delhi,35944,41570160.0,All,2022,3,top,insurance,states,india,2022-Q3,1156.5257066547963,-0.08541767385053811
haryana,35346,45402800.0,All,2022,3,top,insurance,states,india,2022-Q3,1284.5244157754767,-0.016636990874693947
bengaluru urban,64593,59699082.30149983,All,2022,3,top,insurance,districts,india,2022-Q3,924.7935493010045,0.8274486504837888
pune,19899,24823260.0,All,2022,3,top,insurance,districts,india,2022-Q3,1247.4626865671642,-0.6919325623519577
thane,13402,15693837.0,All,2022,3,top,insurance,districts,india,2022-Q3,1171.0070884942545,-0.3264988190361324
