name,count,amount,state,year,quarter,country,date,avg_transaction_value,growth
uttarakhand,1752677,28853867.0,All,2019,4,india,2019-Q4,16.462740710353362,-0.7595740562640032
puducherry,230908,3820943.0,All,2020,1,india,2020-Q1,16.547469121901365,-0.8682541050062276
tamil nadu,10872368,179908753.0,All,2020,1,india,2020-Q1,16.547338445497797,46.08528071786166
uttar pradesh,20136256,374282083.0,All,2020,1,india,2020-Q1,18.587471424677954,0.8520579877355146
madhya pradesh,10151371,262452480.0,All,2020,1,india,2020-Q1,25.8538950059061,-0.49586601401968666
andhra pradesh,13022060,486513773.0,All,2020,1,india,2020-Q1,37.3607380859864,0.2827883051461719
tripura,299962,4063223.0,All,2020,1,india,2020-Q1,13.545792467045827,-0.9769650884729452
lakshadweep,2772,21982.0,All,2020,1,india,2020-Q1,7.93001443001443,-0.9907588294517305
manipur,177374,2175642.0,All,2020,1,india,2020-Q1,12.26584505057111,62.987734487734485
maharashtra,26168390,553571171.6692431,All,2020,1,india,2020-Q1,21.163299419834182,146.5322764328481
dadra & nagar haveli & daman & diu,218496,4195122.0,All,2020,1,india,2020-Q1,19.199994507908613,-0.9916503842995309
meghalaya,113814,1716211.0,All,2020,1,india,2020-Q1,15.079085174055916,-0.47910259226713536
andaman & nicobar islands,28368,193586.0,All,2020,1,india,2020-Q1,6.824097574732092,-0.7507512256840108
haryana,7018770,157793468.0,All,2020,1,india,2020-Q1,22.481641085261376,246.41857021996617
rajasthan,12142053,341815756.0,All,2020,1,india,2020-Q1,28.151397131934772,0.7299402886830599
ladakh,47790,590484.0,All,2020,1,india,2020-Q1,12.355806654111738,-0.9960640922914765
punjab,3739502,53853710.0,All,2020,1,india,2020-Q1,14.401305307498165,77.24862942038084
assam,2185938,33097892.0,All,2020,1,india,2020-Q1,15.141276651030358,-0.415446762697279
